                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.55892,                0.83841,                0.53512,                0.90504,                 0.8701,                0.82774,                0.87241,                0.71776,                 0.8698,                0.81221,                0.86053,                0.68424,                0.69997,                 1.1945,                0.77746,                0.98159,             0.00078103,             0.00078103,             0.00078103
                     92,                0.56964,                0.84757,                0.54835,                0.91107,                0.83936,                0.83538,                0.86535,                0.71173,                0.87475,                0.79871,                0.86041,                0.67244,                0.70453,                 1.2215,                0.78012,                0.97154,             0.00077737,             0.00077737,             0.00077737
                     93,                0.57824,                0.86705,                0.54359,                0.91591,                0.86166,                0.80592,                0.86813,                0.71659,                0.86646,                0.80215,                0.86678,                0.68237,                0.71356,                 1.2504,                0.76236,                0.97305,              0.0007737,              0.0007737,              0.0007737
                     94,                0.57577,                0.85021,                0.54711,                0.90763,                0.86692,                0.79373,                0.86428,                0.71214,                0.87838,                 0.8008,                 0.8708,                 0.6812,                0.72433,                 1.2659,                0.80143,                0.98377,             0.00077003,             0.00077003,             0.00077003
                     95,                0.57346,                0.84722,                0.54383,                0.91169,                0.83629,                0.83239,                0.85659,                0.69922,                0.84032,                0.83303,                0.85468,                0.67487,                0.71904,                  1.243,                0.78172,                0.98863,             0.00076637,             0.00076637,             0.00076637
                     96,                0.57718,                0.86813,                0.53681,                0.91519,                0.83829,                0.81351,                0.86726,                0.71292,                0.84156,                 0.8045,                0.86085,                0.68072,                0.72182,                 1.2984,                0.76829,                0.97613,              0.0007627,              0.0007627,              0.0007627
                     97,                0.57651,                 0.8755,                0.53624,                0.91473,                0.86267,                0.82633,                0.86984,                0.71624,                0.86725,                0.82476,                0.86926,                0.68152,                0.70968,                 1.2888,                 0.7321,                0.98227,             0.00075904,             0.00075904,             0.00075904
                     98,                0.58285,                0.83635,                0.53286,                0.91104,                0.88759,                0.82443,                 0.8813,                0.73156,                0.89253,                0.82359,                0.87847,                0.70039,                0.69589,                 1.2524,                0.72476,                0.96363,             0.00075537,             0.00075537,             0.00075537
                     99,                0.57509,                0.84355,                0.53523,                0.91698,                0.84476,                0.84505,                0.87494,                0.72457,                0.84655,                0.84673,                0.87718,                0.69916,                0.70087,                 1.2127,                0.71308,                0.97039,              0.0007517,              0.0007517,              0.0007517
                    100,                0.55305,                0.83471,                0.53087,                0.90309,                0.87684,                0.81929,                 0.8703,                0.72321,                 0.8754,                0.81771,                0.86678,                0.68475,                0.69215,                 1.2441,                0.73359,                0.97073,             0.00074804,             0.00074804,             0.00074804
                    101,                0.56628,                0.83297,                0.51488,                0.90573,                0.86142,                 0.8305,                0.88088,                0.72299,                0.86463,                0.82944,                 0.8808,                0.69876,                0.71838,                 1.2349,                0.73276,                0.98547,             0.00074437,             0.00074437,             0.00074437
                    102,                0.56254,                0.82995,                0.52483,                0.91253,                0.90122,                0.77468,                0.86556,                0.71864,                0.84473,                0.83155,                 0.8656,                 0.6939,                0.70232,                 1.2581,                0.75382,                0.96846,              0.0007407,              0.0007407,              0.0007407
                    103,                0.56131,                0.83389,                0.51611,                0.90268,                0.87099,                0.80347,                0.86952,                 0.7225,                0.88744,                0.80618,                 0.8761,                0.69311,                0.69587,                 1.2668,                 0.7348,                0.97052,             0.00073704,             0.00073704,             0.00073704
                    104,                0.54634,                0.82975,                0.50611,                0.90275,                0.86501,                0.83721,                0.88254,                0.73202,                0.87091,                0.82826,                0.87311,                 0.7003,                 0.7017,                 1.2626,                0.73384,                0.98138,             0.00073337,             0.00073337,             0.00073337
